trees,site,site.code,Gra.gri.v,Ako.dol.v,Cal.mus.v,Mic.aus.v,Dol.pat.v,Lyc.gri.v,Cone.chi.v,Cha.vell.v,Tup.ruf.v,Cte.men.v,Bos.tau.v,Equ.cab.v,Gra.gri.c,Ako.dol.c,Cal.mus.c,Mic.aus.c,Dol.pat.c,Lyc.gri.c,Cone.chi.c,Cha.vell.c,Tup.ruf.c,Cte.men.c,Bos.tau.c,Equ.cab.c,fruit_avail_sp1,fruit_avail_sp2,fruit_avail_sp3,fruit_avail_sp4,Gra.gri,Ako.dol,Cal.mus,Mic.aus,Dol.pat,Lyc.gri,Cone.chi,Cha.vell,Tup.ruf,Cte.men,Bos.tau,Equ.cab
T117,grazed,bonito,18,0,0,12,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0
T118,grazed,bonito,9,3,0,26,0,0,0,0,0,0,3,0,8,1,0,1,0,0,0,0,0,0,10,0,19,20,11,10,72,3,0,26,0,0,0,0,0,0,30,0
T119,grazed,bonito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0
T120,grazed,bonito,6,13,0,4,0,0,0,0,0,0,0,0,8,10,0,2,0,0,0,0,0,0,0,0,10,20,2,0,48,130,0,8,0,0,0,0,0,0,0,0
T121,ungrazed,protected1,3,0,0,1,1,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,20,1,1,1,57,0,0,0,0,0,0,0,0,0,0,0
T122,ungrazed,protected1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,9,0,0,0,6,0,0,20,11,5,5,0,0,0,0,0,9,0,0,0,12,0,0
T123,ungrazed,protected1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0
T124,ungrazed,protected1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,20,17,17,17,0,0,0,6,0,0,0,0,0,0,0,0
T125,ungrazed,protected1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20,18,18,18,4,0,0,0,0,0,0,0,0,0,0,0
T126,ungrazed,protected1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0
T127,ungrazed,protected1,1,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,20,12,4,4,8,0,0,0,0,0,0,8,0,0,0,0
T128,ungrazed,protected1,10,0,0,2,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,20,10,9,9,100,0,0,2,0,0,0,0,0,0,0,0
T129,ungrazed,protected1,3,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,20,7,7,7,39,0,0,0,0,0,0,0,0,0,0,0
T130,ungrazed,protected1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,20,4,4,4,0,0,0,48,0,0,0,0,0,0,0,0
T131,ungrazed,protected1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0
T132,ungrazed,protected1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,19,19,19,1,0,0,0,0,0,0,0,0,0,0,0
T133,ungrazed,protected1,5,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,20,17,14,14,15,0,0,0,6,0,0,0,0,0,0,0
T134,ungrazed,protected1,8,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,20,15,15,15,40,0,0,0,0,0,0,0,0,0,0,0
